Officer	O
,	O
Steve	PERSON
Cave	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Treasurer	O
,	O
Steve	PERSON
Cittadine	PERSON
,	O
President	O
,	O
Storage	DEPARTMENT
and	DEPARTMENT
Fuels	DEPARTMENT
,	O
Robert	PERSON
Duvall	PERSON
,	O
President	O
,	O
Virginia	DEPARTMENT
Natural	DEPARTMENT
Gas	DEPARTMENT
,	O
Robert	O
E.	O
``	O
Bob	O
''	O
Hayes	O
,	O
Senior	O
Vice	O
President	O
,	O
Trading	DEPARTMENT
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
,	O
Jim	PERSON
Kibler	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
External	DEPARTMENT
Affairs	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Policy	DEPARTMENT
,	O
Marshall	PERSON
Lang	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Marketing	DEPARTMENT
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
,	O
Ron	PERSON
Lepionka	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Audit	O
Executive	O
,	O
Brian	PERSON
Little	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
,	O
Brian	PERSON
MacLean	PERSON
,	O
President	O
,	O
Elizabethtown	DEPARTMENT
Gas	DEPARTMENT
and	O
Elkton	DEPARTMENT
Gas	DEPARTMENT
,	O
Joe	PERSON
Surber	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
Chief	O
Information	O
Officer	O
,	O
Jay	PERSON
Sutton	PERSON
,	O
Senior	O
Vice	O
President	O
,	O
Operations	DEPARTMENT
Services	DEPARTMENT
,	O
Melvin	PERSON
D.	PERSON
Williams	PERSON
,	O
Senior	O
Vice	O
President	O
and	O
President	O
,	O
Nicor	DEPARTMENT
Gas	DEPARTMENT
,	O
Experience	O
and	O
Strength	O
of	O
Character	O
At	O
AGL	DEPARTMENT
Resources	DEPARTMENT
,	O
our	O
actions	O
are	O
guided	O
by	O
our	O
corporate	O
values	O
:	O
Safety	O
;	O
Integrity	O
,	O
Honesty	O
,	O
Dignity	O
and	O
Respect	O
;	O
Stewardship	O
;	O
Value	O
Seeking	O
;	O
Personal	O
Responsibility	O
and	O
Teamwork	O
;	O
and	O
Generosity	O
of	O
Spirit	O
.	O
Executive	O
Leadership	O
|	O
Other	O
Officers	O
Andrew	PERSON
W.	PERSON
Evans	PERSON
Chairman	O
of	O
the	O
Board	O
,	O
President	O
and	O
Chief	O
Executive	O
Officer	O
Beth	PERSON
Reese	PERSON
Executive	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
Hank	PERSON
Linginfelter	PERSON
Executive	O
Vice	O
President	O
,	O
Distribution	DEPARTMENT
Operations	DEPARTMENT
Paul	PERSON
R.	PERSON
Shlanta	PERSON
Executive	O
Vice	O
President	O
,	O
General	O
Counsel	O
and	O
Chief	O
Ethics	O
and	O
Compliance	O
Officer	O
Peter	PERSON
Tumminello	PERSON
Executive	O
Vice	O
President	O
,	O
Nonregulated	DEPARTMENT
Businesses	DEPARTMENT
and	O
President	O
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
Bryan	PERSON
Batson	PERSON
Senior	O
Vice	O
President	O
,	O
Southern	DEPARTMENT
Operations	DEPARTMENT
,	O
President	O
of	O
Atlanta	DEPARTMENT
Gas	DEPARTMENT
Light	DEPARTMENT
,	O
Chattanooga	DEPARTMENT
Gas	DEPARTMENT
and	O
Florida	DEPARTMENT
City	DEPARTMENT
Gas	DEPARTMENT
Michael	PERSON
Braswell	PERSON
President	O
of	O
Retail	DEPARTMENT
Energy	DEPARTMENT
,	O
AGL	DEPARTMENT
Resources	DEPARTMENT
and	O
President	O
and	O
CEO	O
,	O
SouthStar	DEPARTMENT
Energy	DEPARTMENT
Services	DEPARTMENT
Robin	PERSON
B.	PERSON
Boren	PERSON
President	O
,	O
Pivotal	DEPARTMENT
Home	DEPARTMENT
Solutions	DEPARTMENT
Jeff	PERSON
Brown	PERSON
Senior	O
Vice	O
President	O
and	O
Deputy	O
General	O
Counsel	O
Scott	PERSON
Carter	PERSON
Senior	O
Vice	O
President	O
,	O
Commercial	DEPARTMENT
Operations	DEPARTMENT
and	O
Chief	O
Regulatory	O
Officer	O
Steve	PERSON
Cave	PERSON
Senior	O
Vice	O
President	O
and	O
Treasurer	O
Steve	PERSON
Cittadine	PERSON
President	O
,	O
Storage	DEPARTMENT
and	DEPARTMENT
Fuels	DEPARTMENT
Robert	PERSON
Duvall	PERSON
President	O
,	O
Virginia	DEPARTMENT
Natural	DEPARTMENT
Gas	DEPARTMENT
Robert	O
E.	O
``	O
Bob	O
''	O
Hayes	O
Senior	O
Vice	O
President	O
,	O
Trading	DEPARTMENT
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
Jim	PERSON
Kibler	PERSON
Senior	O
Vice	O
President	O
,	O
External	DEPARTMENT
Affairs	DEPARTMENT
and	DEPARTMENT
Public	DEPARTMENT
Policy	DEPARTMENT
Marshall	PERSON
Lang	PERSON
Senior	O
Vice	O
President	O
,	O
Marketing	DEPARTMENT
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
Ron	PERSON
Lepionka	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Audit	O
Executive	O
Brian	PERSON
Little	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Financial	O
Officer	O
,	O
Sequent	DEPARTMENT
Energy	DEPARTMENT
Management	DEPARTMENT
Brian	PERSON
MacLean	PERSON
President	O
,	O
Elizabethtown	DEPARTMENT
Gas	DEPARTMENT
and	O
Elkton	DEPARTMENT
Gas	DEPARTMENT
Joe	PERSON
Surber	PERSON
Senior	O
Vice	O
President	O
and	O
Chief	O
Information	O
Officer	O
Jay	PERSON
Sutton	PERSON
Senior	O
Vice	O
President	O
,	O
Operations	DEPARTMENT
Services	DEPARTMENT
Melvin	PERSON
D.	PERSON
Williams	PERSON
Senior	O
Vice	O
President	O
and	O
President	O
,	O
Nicor	DEPARTMENT
Gas	DEPARTMENT
Back	O
to	O
Top	O
,	O
www.aglresources.com/about/executive.aspx	O
